,Artist,Track,0,1,2,3,4,5,6,7,8
207,Kendrick Lamar,Black Panther,,,,,,,,,
208,Kendrick Lamar,All The Stars ,SZA,,,,,,,,
209,ScHoolboy Q,X ,2 Chainz,Saudi,,,,,,,
210,Khalid,The Ways ,Swae Lee,,,,,,,,
211,Vince Staples,Opps ,Yugen Blakrok,,,,,,,,
212,Jorja Smith,I Am,,,,,,,,,
213,SOB X RBE,Paramedic!,,,,,,,,,
214,Ab-Soul,Bloody Waters ,Anderson .Paak,James Blake,,,,,,,
215,Jay Rock,King's Dead ,Kendrick Lamar,Future,James Blake,,,,,,
216,Zacari,Redemption,,,,,,,,,
217,Zacari,Redemption ,Babes Wodumo,,,,,,,,
218,Mozzy,Seasons ,Sjava,REASON,,,,,,,
219,Kendrick Lamar,Big Shot ,Travis Scott,,,,,,,,
220,The Weeknd,Pray For Me ,Kendrick Lamar,,,,,,,,
221,Kendrick Lamar,My People ,Jay Rock,,,,,,,,
222,Terrace Martin,Triangle Ship ,,,,,,,,,
223,Ab-Soul,Kendrick Lamar's,,,,,,,,,
224,Travis Scott,goosebumps,,,,,,,,,
225,Vince Staples,Yeah Right,,,,,,,,,
226,Kendrick Lamar,The Heart Part 4,,,,,,,,,
227,Kendrick Lamar,County Building Blues,,,,,,,,,
228,Solange,Looks Good,Kendrick Lamar,,,,,,,,
229,Lyn Charles,Star Life ,,,,,,,,,
230,Kanye West,No More Parties In LA,,,,,,,,,
231,Mike WiLL Made-It,The Mantra ,Pharrell Williams,Kendrick Lamar,,,,,,,
